"Simple average house and mortage price statistics [note 1, 2, 3, 4, 5, 6, 7]",,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes that can be found within the notes worksheet.,,,,,,,,,,,,,,,,,
Period,Region,Region code,New dwellings Price,New dwellings average advance,New dwellings average recorded income of borrowers,Other dwellings Price,Other dwellings average advance,Other dwellings average recorded income of borrowers,All dwellings Price,All dwellings average advance,All dwellings average recorded income of borrowers,First time buyers Price,First time buyers average advance,First time buyers average recorded income of borrowers,Former owner occupiers Price,Former owner occupiers average advance,Former owner occupiers average recorded income of borrowers
1997 Q2,East of England,E12000006,"97,000 ","71,000 ","33,000 ","80,000 ","57,000 ","27,000 ","82,000 ","58,000 ","28,000 ","55,000 ","50,000 ","22,000 ","101,000 ","64,000 ","31,000 "
1997 Q3,East of England,E12000006,"109,000 ","77,000 ","35,000 ","81,000 ","58,000 ","28,000 ","85,000 ","60,000 ","29,000 ","60,000 ","52,000 ","23,000 ","103,000 ","66,000 ","33,000 "
1997 Q4,East of England,E12000006,"104,000 ","76,000 ","35,000 ","77,000 ","55,000 ","26,000 ","80,000 ","58,000 ","27,000 ","58,000 ","49,000 ","23,000 ","99,000 ","65,000 ","31,000 "
1998 Q1,East of England,E12000006,"107,000 ","76,000 ","35,000 ","76,000 ","56,000 ","27,000 ","81,000 ","58,000 ","28,000 ","57,000 ","50,000 ","22,000 ","101,000 ","65,000 ","33,000 "
1998 Q2,East of England,E12000006,"113,000 ","81,000 ","37,000 ","85,000 ","61,000 ","28,000 ","88,000 ","63,000 ","29,000 ","64,000 ","54,000 ","24,000 ","110,000 ","71,000 ","33,000 "
1998 Q3,East of England,E12000006,"113,000 ","83,000 ","38,000 ","89,000 ","61,000 ","29,000 ","92,000 ","63,000 ","30,000 ","67,000 ","54,000 ","23,000 ","109,000 ","69,000 ","35,000 "
1998 Q4,East of England,E12000006,"114,000 ","79,000 ","38,000 ","90,000 ","62,000 ","29,000 ","94,000 ","64,000 ","30,000 ","72,000 ","56,000 ","25,000 ","110,000 ","71,000 ","34,000 "
1999 Q1,East of England,E12000006,"120,000 ","79,000 ","37,000 ","86,000 ","62,000 ","29,000 ","91,000 ","64,000 ","30,000 ","69,000 ","56,000 ","25,000 ","109,000 ","70,000 ","34,000 "
1999 Q2,East of England,E12000006,"123,000 ","86,000 ","39,000 ","90,000 ","63,000 ","29,000 ","94,000 ","66,000 ","30,000 ","71,000 ","58,000 ","25,000 ","113,000 ","73,000 ","34,000 "
1999 Q3,East of England,E12000006,"116,000 ","79,000 ","35,000 ","93,000 ","66,000 ","30,000 ","95,000 ","67,000 ","30,000 ","74,000 ","60,000 ","26,000 ","111,000 ","72,000 ","33,000 "
1999 Q4,East of England,E12000006,"133,000 ","92,000 ","40,000 ","102,000 ","70,000 ","32,000 ","106,000 ","73,000 ","33,000 ","81,000 ","64,000 ","28,000 ","124,000 ","79,000 ","36,000 "
2000 Q1,East of England,E12000006,"141,000 ","95,000 ","40,000 ","102,000 ","70,000 ","31,000 ","106,000 ","72,000 ","32,000 ","79,000 ","61,000 ","27,000 ","128,000 ","81,000 ","36,000 "
2000 Q2,East of England,E12000006,"129,000 ","85,000 ","38,000 ","106,000 ","75,000 ","32,000 ","108,000 ","76,000 ","32,000 ","82,000 ","67,000 ","28,000 ","129,000 ","83,000 ","36,000 "
2000 Q3,East of England,E12000006,"160,000 ","102,000 ","45,000 ","110,000 ","75,000 ","32,000 ","114,000 ","77,000 ","33,000 ","85,000 ","67,000 ","28,000 ","134,000 ","85,000 ","37,000 "
2000 Q4,East of England,E12000006,"142,000 ","87,000 ","37,000 ","115,000 ","78,000 ","34,000 ","119,000 ","79,000 ","34,000 ","90,000 ","71,000 ","30,000 ","139,000 ","84,000 ","37,000 "
2001 Q1,East of England,E12000006,"180,000 ","118,000 ","46,000 ","121,000 ","81,000 ","35,000 ","126,000 ","84,000 ","35,000 ","91,000 ","71,000 ","29,000 ","147,000 ","93,000 ","39,000 "
2001 Q2,East of England,E12000006,"144,000 ","96,000 ","42,000 ","122,000 ","82,000 ","36,000 ","124,000 ","84,000 ","37,000 ","90,000 ","72,000 ","30,000 ","144,000 ","90,000 ","40,000 "
2001 Q3,East of England,E12000006,"161,000 ","109,000 ","46,000 ","125,000 ","79,000 ","35,000 ","130,000 ","82,000 ","36,000 ","99,000 ","76,000 ","32,000 ","148,000 ","89,000 ","38,000 "
2001 Q4,East of England,E12000006,"166,000 ","107,000 ","46,000 ","127,000 ","81,000 ","37,000 ","131,000 ","84,000 ","38,000 ","99,000 ","76,000 ","31,000 ","151,000 ","91,000 ","41,000 "
2002 Q1,East of England,E12000006,"201,000 ","140,000 ","57,000 ","138,000 ","89,000 ","37,000 ","141,000 ","92,000 ","39,000 ","111,000 ","88,000 ","34,000 ","162,000 ","99,000 ","43,000 "
2002 Q2,East of England,E12000006,"185,000 ","105,000 ","45,000 ","144,000 ","90,000 ","38,000 ","148,000 ","93,000 ","38,000 ","115,000 ","91,000 ","34,000 ","162,000 ","97,000 ","40,000 "
2002 Q3,East of England,E12000006,"190,000 ","121,000 ","47,000 ","150,000 ","94,000 ","38,000 ","154,000 ","97,000 ","40,000 ","124,000 ","93,000 ","39,000 ","168,000 ","101,000 ","40,000 "
2002 Q4,East of England,E12000006,"192,000 ","114,000 ","44,000 ","156,000 ","97,000 ","42,000 ","160,000 ","99,000 ","42,000 ","133,000 ","99,000 ","38,000 ","173,000 ","101,000 ","44,000 "
2003 Q1,East of England,E12000006,"196,000 ","133,000 ","53,000 ","161,000 ","101,000 ","42,000 ","165,000 ","104,000 ","43,000 ","124,000 ","98,000 ","35,000 ","179,000 ","108,000 ","44,000 "
2003 Q2,East of England,E12000006,"227,000 ","136,000 ","51,000 ","173,000 ","106,000 ","43,000 ","177,000 ","109,000 ","44,000 ","141,000 ","104,000 ","38,000 ","189,000 ","110,000 ","44,000 "
2003 Q3,East of England,E12000006,"236,000 ","142,000 ","55,000 ","187,000 ","113,000 ","41,000 ","189,000 ","115,000 ","42,000 ","135,000 ","103,000 ","32,000 ","201,000 ","117,000 ","43,000 "
2003 Q4,East of England,E12000006,"234,000 ","145,000 ","57,000 ","189,000 ","116,000 ","42,000 ","191,000 ","118,000 ","43,000 ","136,000 ","105,000 ","33,000 ","202,000 ","120,000 ","43,000 "
2004 Q1,East of England,E12000006,"241,000 ","146,000 ","53,000 ","188,000 ","115,000 ","42,000 ","191,000 ","115,000 ","42,000 ","139,000 ","106,000 ","34,000 ","203,000 ","118,000 ","42,000 "
2004 Q2,East of England,E12000006,"239,000 ","152,000 ","52,000 ","195,000 ","119,000 ","42,000 ","199,000 ","119,000 ","42,000 ","144,000 ","111,000 ","34,000 ","211,000 ","123,000 ","42,000 "
2004 Q3,East of England,E12000006,"247,000 ","153,000 ","54,000 ","207,000 ","125,000 ","41,000 ","212,000 ","125,000 ","42,000 ","150,000 ","117,000 ","36,000 ","224,000 ","130,000 ","43,000 "
2004 Q4,East of England,E12000006,"228,000 ","145,000 ","51,000 ","207,000 ","127,000 ","40,000 ","210,000 ","125,000 ","41,000 ","153,000 ","118,000 ","35,000 ","223,000 ","129,000 ","42,000 "
2005 Q1,East of England,E12000006,"241,000 ","151,000 ","55,000 ","206,000 ","125,000 ","41,000 ","209,000 ","124,000 ","42,000 ","154,000 ","119,000 ","35,000 ","223,000 ","128,000 ","44,000 "
2005 Q2,East of England,E12000006,"237,000 ","149,000 ","55,000 ","207,000 ","130,000 ","42,000 ","210,000 ","128,000 ","43,000 ","158,000 ","120,000 ","36,000 ","222,000 ","134,000 ","45,000 "
2005 Q3,East of England,E12000006,"244,000 ","155,000 ","57,000 ","218,000 ","137,000 ","46,000 ","220,000 ","136,000 ","47,000 ","161,000 ","126,000 ","39,000 ","236,000 ","142,000 ","50,000 "
2005 Q4,East of England,E12000006,"240,000 ","164,000 ","61,000 ","207,000 ","138,000 ","51,000 ","208,000 ","139,000 ","51,000 ","149,000 ","124,000 ","42,000 ","238,000 ","147,000 ","56,000 "
2006 Q1,East of England,E12000006,"251,000 ","165,000 ","62,000 ","208,000 ","136,000 ","50,000 ","209,000 ","137,000 ","51,000 ","148,000 ","123,000 ","41,000 ","239,000 ","144,000 ","55,000 "
2006 Q2,East of England,E12000006,"255,000 ","162,000 ","62,000 ","214,000 ","143,000 ","51,000 ","216,000 ","144,000 ","52,000 ","154,000 ","129,000 ","41,000 ","245,000 ","151,000 ","56,000 "
2006 Q3,East of England,E12000006,"251,000 ","165,000 ","62,000 ","230,000 ","149,000 ","55,000 ","231,000 ","150,000 ","55,000 ","162,000 ","132,000 ","43,000 ","263,000 ","157,000 ","61,000 "
2006 Q4,East of England,E12000006,"240,000 ","159,000 ","57,000 ","227,000 ","148,000 ","53,000 ","228,000 ","149,000 ","54,000 ","162,000 ","135,000 ","43,000 ","257,000 ","155,000 ","58,000 "
2007 Q1,East of England,E12000006,"231,000 ","150,000 ","57,000 ","232,000 ","152,000 ","55,000 ","232,000 ","152,000 ","56,000 ","164,000 ","135,000 ","43,000 ","263,000 ","159,000 ","61,000 "
2007 Q2,East of England,E12000006,"234,000 ","155,000 ","56,000 ","230,000 ","154,000 ","54,000 ","231,000 ","154,000 ","54,000 ","167,000 ","138,000 ","43,000 ","261,000 ","162,000 ","59,000 "
2007 Q3,East of England,E12000006,"239,000 ","155,000 ","57,000 ","247,000 ","160,000 ","56,000 ","247,000 ","160,000 ","56,000 ","174,000 ","142,000 ","44,000 ","279,000 ","167,000 ","61,000 "
2007 Q4,East of England,E12000006,"238,000 ","158,000 ","55,000 ","243,000 ","158,000 ","55,000 ","243,000 ","158,000 ","55,000 ","172,000 ","140,000 ","43,000 ","273,000 ","166,000 ","60,000 "
2008 Q1,East of England,E12000006,"228,000 ","149,000 ","55,000 ","245,000 ","158,000 ","56,000 ","244,000 ","158,000 ","56,000 ","170,000 ","137,000 ","42,000 ","280,000 ","168,000 ","63,000 "
2008 Q2,East of England,E12000006,"233,000 ","152,000 ","53,000 ","247,000 ","160,000 ","58,000 ","246,000 ","159,000 ","57,000 ","177,000 ","139,000 ","44,000 ","278,000 ","168,000 ","63,000 "
2008 Q3,East of England,E12000006,"224,000 ","135,000 ","49,000 ","253,000 ","154,000 ","59,000 ","251,000 ","153,000 ","58,000 ","177,000 ","129,000 ","43,000 ","284,000 ","163,000 ","65,000 "
2008 Q4,East of England,E12000006,"206,000 ","129,000 ","47,000 ","239,000 ","142,000 ","55,000 ","237,000 ","141,000 ","54,000 ","166,000 ","121,000 ","42,000 ","271,000 ","152,000 ","61,000 "
2009 Q1,East of England,E12000006,"216,000 ","137,000 ","48,000 ","229,000 ","138,000 ","55,000 ","228,000 ","138,000 ","54,000 ","161,000 ","115,000 ","41,000 ","264,000 ","150,000 ","62,000 "
2009 Q2,East of England,E12000006,"202,000 ","123,000 ","49,000 ","227,000 ","137,000 ","54,000 ","225,000 ","136,000 ","53,000 ","158,000 ","112,000 ","40,000 ","258,000 ","148,000 ","60,000 "
2009 Q3,East of England,E12000006,"214,000 ","127,000 ","48,000 ","242,000 ","145,000 ","56,000 ","241,000 ","144,000 ","55,000 ","170,000 ","119,000 ","42,000 ","273,000 ","155,000 ","61,000 "
2009 Q4,East of England,E12000006,"214,000 ","132,000 ","55,000 ","242,000 ","145,000 ","55,000 ","240,000 ","145,000 ","55,000 ","171,000 ","121,000 ","42,000 ","270,000 ","155,000 ","61,000 "
2010 Q1,East of England,E12000006,"219,000 ","131,000 ","50,000 ","264,000 ","155,000 ","59,000 ","261,000 ","154,000 ","59,000 ","180,000 ","123,000 ","43,000 ","292,000 ","165,000 ","65,000 "
2010 Q2,East of England,E12000006,"214,000 ","133,000 ","50,000 ","262,000 ","157,000 ","58,000 ","259,000 ","156,000 ","58,000 ","183,000 ","128,000 ","43,000 ","290,000 ","167,000 ","63,000 "
2010 Q3,East of England,E12000006,"237,000 ","141,000 ","55,000 ","271,000 ","164,000 ","60,000 ","269,000 ","163,000 ","60,000 ","190,000 ","136,000 ","46,000 ","301,000 ","174,000 ","66,000 "
2010 Q4,East of England,E12000006,"246,000 ","151,000 ","54,000 ","259,000 ","159,000 ","59,000 ","256,000 ","158,000 ","58,000 ","179,000 ","130,000 ","44,000 ","289,000 ","171,000 ","64,000 "
2011 Q1,East of England,E12000006,"238,000 ","151,000 ","56,000 ","257,000 ","158,000 ","59,000 ","254,000 ","157,000 ","58,000 ","178,000 ","130,000 ","44,000 ","290,000 ","170,000 ","65,000 "
2011 Q2,East of England,E12000006,"246,000 ","158,000 ","59,000 ","255,000 ","158,000 ","58,000 ","253,000 ","158,000 ","58,000 ","177,000 ","131,000 ","44,000 ","287,000 ","170,000 ","65,000 "
2011 Q3,East of England,E12000006,"247,000 ","152,000 ","54,000 ","263,000 ","161,000 ","58,000 ","262,000 ","162,000 ","58,000 ","181,000 ","132,000 ","43,000 ","295,000 ","174,000 ","64,000 "
2011 Q4,East of England,E12000006,"262,000 ","161,000 ","57,000 ","254,000 ","158,000 ","57,000 ","254,000 ","159,000 ","57,000 ","180,000 ","132,000 ","43,000 ","285,000 ","170,000 ","63,000 "
2012 Q1,East of England,E12000006,"237,000 ","150,000 ","50,000 ","248,000 ","159,000 ","56,000 ","247,000 ","158,000 ","56,000 ","179,000 ","135,000 ","43,000 ","282,000 ","170,000 ","62,000 "
2012 Q2,East of England,E12000006,"262,000 ","176,000 ","59,000 ","256,000 ","162,000 ","58,000 ","256,000 ","163,000 ","59,000 ","184,000 ","139,000 ","45,000 ","285,000 ","173,000 ","64,000 "
2012 Q3,East of England,E12000006,"263,000 ","165,000 ","59,000 ","265,000 ","166,000 ","60,000 ","264,000 ","166,000 ","60,000 ","187,000 ","140,000 ","46,000 ","301,000 ","178,000 ","66,000 "
2012 Q4,East of England,E12000006,"252,000 ","153,000 ","55,000 ","255,000 ","162,000 ","58,000 ","254,000 ","162,000 ","57,000 ","179,000 ","136,000 ","44,000 ","292,000 ","175,000 ","64,000 "
2013 Q1,East of England,E12000006,"274,000 ","168,000 ","59,000 ","251,000 ","162,000 ","58,000 ","253,000 ","162,000 ","58,000 ","180,000 ","137,000 ","45,000 ","294,000 ","176,000 ","66,000 "
2013 Q2,East of England,E12000006,"275,000 ","174,000 ","65,000 ","250,000 ","162,000 ","58,000 ","252,000 ","163,000 ","59,000 ","183,000 ","140,000 ","45,000 ","295,000 ","176,000 ","67,000 "
2013 Q3,East of England,E12000006,"281,000 ","181,000 ","65,000 ","263,000 ","167,000 ","58,000 ","263,000 ","167,000 ","58,000 ","191,000 ","146,000 ","46,000 ","301,000 ","179,000 ","65,000 "
2013 Q4,East of England,E12000006,"277,000 ","185,000 ","62,000 ","264,000 ","172,000 ","58,000 ","265,000 ","173,000 ","58,000 ","192,000 ","147,000 ","46,000 ","306,000 ","188,000 ","65,000 "
2014 Q1,East of England,E12000006,"290,000 ","191,000 ","67,000 ","267,000 ","175,000 ","58,000 ","267,000 ","176,000 ","59,000 ","193,000 ","149,000 ","46,000 ","309,000 ","190,000 ","66,000 "
2014 Q2,East of England,E12000006,"303,000 ","195,000 ","73,000 ","276,000 ","184,000 ","60,000 ","277,000 ","185,000 ","61,000 ","202,000 ","158,000 ","48,000 ","320,000 ","200,000 ","68,000 "
2014 Q3,East of England,E12000006,"314,000 ","197,000 ","72,000 ","289,000 ","188,000 ","62,000 ","290,000 ","189,000 ","62,000 ","209,000 ","164,000 ","49,000 ","335,000 ","204,000 ","70,000 "
2014 Q4,East of England,E12000006,"303,000 ","194,000 ","69,000 ","285,000 ","186,000 ","61,000 ","285,000 ","187,000 ","61,000 ","210,000 ","162,000 ","49,000 ","334,000 ","203,000 ","69,000 "
2015 Q1,East of England,E12000006,"298,000 ","191,000 ","64,000 ","294,000 ","193,000 ","63,000 ","295,000 ","193,000 ","63,000 ","212,000 ","163,000 ","49,000 ","348,000 ","213,000 ","73,000 "
2015 Q2,East of England,E12000006,"317,000 ","204,000 ","70,000 ","292,000 ","195,000 ","63,000 ","295,000 ","196,000 ","64,000 ","220,000 ","171,000 ","51,000 ","348,000 ","214,000 ","73,000 "
2015 Q3,East of England,E12000006,"318,000 ","197,000 ","66,000 ","316,000 ","205,000 ","66,000 ","317,000 ","204,000 ","66,000 ","227,000 ","174,000 ","52,000 ","370,000 ","222,000 ","75,000 "
2015 Q4,East of England,E12000006,"323,000 ","208,000 ","68,000 ","317,000 ","207,000 ","66,000 ","317,000 ","206,000 ","66,000 ","227,000 ","176,000 ","52,000 ","376,000 ","226,000 ","76,000 "
2016 Q1,East of England,E12000006,"335,000 ","214,000 ","69,000 ","330,000 ","215,000 ","69,000 ","330,000 ","215,000 ","69,000 ","229,000 ","178,000 ","53,000 ","393,000 ","237,000 ","79,000 "
2016 Q2,East of England,E12000006,"323,000 ","204,000 ","64,000 ","308,000 ","206,000 ","63,000 ","310,000 ","206,000 ","63,000 ","234,000 ","183,000 ","52,000 ","380,000 ","227,000 ","73,000 "
2016 Q3,East of England,E12000006,"341,000 ","215,000 ","75,000 ","332,000 ","217,000 ","66,000 ","332,000 ","217,000 ","67,000 ","241,000 ","189,000 ","53,000 ","405,000 ","239,000 ","77,000 "
2016 Q4,East of England,E12000006,"342,000 ","219,000 ","66,000 ","332,000 ","217,000 ","66,000 ","333,000 ","217,000 ","66,000 ","240,000 ","189,000 ","52,000 ","406,000 ","239,000 ","77,000 "
2017 Q1,East of England,E12000006,"317,000 ","206,000 ","64,000 ","327,000 ","212,000 ","64,000 ","326,000 ","211,000 ","64,000 ","241,000 ","181,000 ","51,000 ","391,000 ","234,000 ","74,000 "
2017 Q2,East of England,E12000006,"350,000 ","223,000 ","67,000 ","331,000 ","220,000 ","65,000 ","334,000 ","220,000 ","65,000 ","250,000 ","192,000 ","53,000 ","400,000 ","243,000 ","75,000 "
2017 Q3,East of England,E12000006,"346,000 ","224,000 ","67,000 ","343,000 ","226,000 ","66,000 ","343,000 ","226,000 ","66,000 ","253,000 ","195,000 ","53,000 ","411,000 ","248,000 ","76,000 "
2017 Q4,East of England,E12000006,"359,000 ","230,000 ","68,000 ","332,000 ","219,000 ","63,000 ","337,000 ","221,000 ","64,000 ","252,000 ","194,000 ","53,000 ","403,000 ","242,000 ","72,000 "
2018 Q1,East of England,E12000006,"352,000 ","224,000 ","67,000 ","335,000 ","221,000 ","64,000 ","338,000 ","222,000 ","65,000 ","252,000 ","193,000 ","53,000 ","405,000 ","245,000 ","74,000 "
2018 Q2,East of England,E12000006,"350,000 ","226,000 ","66,000 ","332,000 ","222,000 ","64,000 ","336,000 ","223,000 ","64,000 ","258,000 ","197,000 ","53,000 ","402,000 ","245,000 ","74,000 "
2018 Q3,East of England,E12000006,"357,000 ","229,000 ","68,000 ","341,000 ","227,000 ","66,000 ","343,000 ","228,000 ","66,000 ","261,000 ","201,000 ","54,000 ","411,000 ","250,000 ","76,000 "
2018 Q4,East of England,E12000006,"350,000 ","227,000 ","66,000 ","333,000 ","224,000 ","63,000 ","337,000 ","225,000 ","64,000 ","256,000 ","197,000 ","53,000 ","404,000 ","248,000 ","73,000 "
2019 Q1,East of England,E12000006,"344,000 ","221,000 ","65,000 ","328,000 ","224,000 ","64,000 ","331,000 ","223,000 ","64,000 ","253,000 ","197,000 ","52,000 ","400,000 ","246,000 ","74,000 "
2019 Q2,East of England,E12000006,"352,000 ","231,000 ","67,000 ","332,000 ","228,000 ","66,000 ","336,000 ","228,000 ","66,000 ","259,000 ","202,000 ","54,000 ","403,000 ","251,000 ","77,000 "
2019 Q3,East of England,E12000006,"350,000 ","229,000 ","68,000 ","342,000 ","235,000 ","67,000 ","343,000 ","234,000 ","67,000 ","262,000 ","206,000 ","55,000 ","413,000 ","258,000 ","77,000 "
2019 Q4,East of England,E12000006,"357,000 ","232,000 ","68,000 ","343,000 ","235,000 ","67,000 ","346,000 ","235,000 ","67,000 ","264,000 ","206,000 ","56,000 ","415,000 ","259,000 ","77,000 "
2020 Q1,East of England,E12000006,"350,000 ","226,000 ","66,000 ","340,000 ","236,000 ","67,000 ","342,000 ","234,000 ","67,000 ","262,000 ","205,000 ","55,000 ","409,000 ","260,000 ","77,000 "
2020 Q2,East of England,E12000006,"333,000 ","221,000 ","65,000 ","328,000 ","231,000 ","65,000 ","329,000 ","229,000 ","65,000 ","254,000 ","202,000 ","54,000 ","399,000 ","256,000 ","76,000 "
2020 Q3,East of England,E12000006,"356,000 ","235,000 ","69,000 ","372,000 ","254,000 ","73,000 ","369,000 ","250,000 ","73,000 ","278,000 ","216,000 ","58,000 ","445,000 ","279,000 ","85,000 "
2020 Q4,East of England,E12000006,"364,000 ","241,000 ","71,000 ","391,000 ","260,000 ","75,000 ","386,000 ","256,000 ","74,000 ","289,000 ","218,000 ","59,000 ","455,000 ","283,000 ","85,000 "
2021 Q1,East of England,E12000006,"378,000 ","243,000 ","72,000 ","398,000 ","259,000 ","74,000 ","395,000 ","256,000 ","74,000 ","292,000 ","217,000 ","59,000 ","456,000 ","279,000 ","83,000 "
2021 Q2,East of England,E12000006,"383,000 ","246,000 ","73,000 ","394,000 ","259,000 ","74,000 ","392,000 ","257,000 ","74,000 ","286,000 ","216,000 ","58,000 ","465,000 ","285,000 ","85,000 "
2021 Q3,East of England,E12000006,"343,000 ","226,000 ","67,000 ","349,000 ","237,000 ","67,000 ","348,000 ","236,000 ","67,000 ","266,000 ","206,000 ","56,000 ","424,000 ","262,000 ","78,000 "
2021 Q4,East of England,E12000006,"363,000 ","240,000 ","69,000 ","380,000 ","256,000 ","72,000 ","376,000 ","253,000 ","71,000 ","278,000 ","215,000 ","57,000 ","481,000 ","293,000 ","86,000 "
2022 Q1,East of England,E12000006,"373,000 ","243,000 ","70,000 ","389,000 ","264,000 ","74,000 ","386,000 ","260,000 ","73,000 ","284,000 ","221,000 ","58,000 ","484,000 ","298,000 ","88,000 "
2022 Q2,East of England,E12000006,"381,000 ","253,000 ","72,000 ","397,000 ","273,000 ","75,000 ","393,000 ","268,000 ","74,000 ","297,000 ","230,000 ","60,000 ","489,000 ","307,000 ","88,000 "
2022 Q3,East of England,E12000006,"390,000 ","263,000 ","76,000 ","414,000 ","283,000 ","79,000 ","410,000 ","280,000 ","78,000 ","307,000 ","241,000 ","63,000 ","502,000 ","314,000 ","92,000 "
2022 Q4,East of England,E12000006,"380,000 ","259,000 ","76,000 ","410,000 ","276,000 ","78,000 ","403,000 ","272,000 ","78,000 ","307,000 ","240,000 ","64,000 ","497,000 ","304,000 ","91,000 "
2023 Q1,East of England,E12000006,"382,000 ","252,000 ","79,000 ","389,000 ","259,000 ","77,000 ","388,000 ","258,000 ","78,000 ","296,000 ","228,000 ","64,000 ","480,000 ","288,000 ","92,000 "
2023 Q2,East of England,E12000006,"376,000 ","244,000 ","78,000 ","388,000 ","261,000 ","79,000 ","386,000 ","258,000 ","79,000 ","291,000 ","226,000 ","64,000 ","478,000 ","289,000 ","94,000 "
2023 Q3,East of England,E12000006,"365,000 ","234,000 ","77,000 ","403,000 ","268,000 ","81,000 ","397,000 ","263,000 ","81,000 ","300,000 ","235,000 ","66,000 ","490,000 ","290,000 ","95,000 "
2023 Q4,East of England,E12000006,"366,000 ","240,000 ","82,000 ","384,000 ","255,000 ","79,000 ","381,000 ","253,000 ","80,000 ","290,000 ","226,000 ","66,000 ","473,000 ","280,000 ","94,000 "
2024 Q1,East of England,E12000006,"339,000 ","229,000 ","78,000 ","378,000 ","256,000 ","80,000 ","372,000 ","251,000 ","80,000 ","283,000 ","222,000 ","65,000 ","468,000 ","283,000 ","97,000 "
2024 Q2,East of England,E12000006,"370,000 ","255,000 ","82,000 ","382,000 ","263,000 ","80,000 ","380,000 ","261,000 ","80,000 ","296,000 ","236,000 ","67,000 ","476,000 ","291,000 ","96,000 "
2024 Q3,East of England,E12000006,"370,000 ","248,000 ","82,000 ","399,000 ","273,000 ","83,000 ","395,000 ","270,000 ","83,000 ","303,000 ","241,000 ","68,000 ","491,000 ","299,000 ","99,000 "
2024 Q4,East of England,E12000006,"379,000 ","266,000 ","86,000 ","397,000 ","272,000 ","84,000 ","394,000 ","271,000 ","85,000 ","304,000 ","244,000 ","69,000 ","488,000 ","300,000 ","101,000 "
2025 Q1,East of England,E12000006,"385,000 ","269,000 ","83,000 ","403,000 ","281,000 ","84,000 ","400,000 ","279,000 ","84,000 ","316,000 ","254,000 ","70,000 ","488,000 ","305,000 ","98,000 "
2025 Q2,East of England,E12000006,"387,000 ","275,000 ","83,000 ","368,000 ","262,000 ","77,000 ","371,000 ","264,000 ","78,000 ","286,000 ","232,000 ","64,000 ","477,000 ","303,000 ","96,000 "
2025 Q3,East of England,E12000006,"384,000 ","269,000 ","84,000 ","403,000 ","280,000 ","83,000 ","400,000 ","278,000 ","83,000 ","302,000 ","243,000 ","67,000 ","508,000 ","316,000 ","100,000 "
2025 Q4,East of England,E12000006,"391,000 ","282,000 ","83,000 ","400,000 ","282,000 ","82,000 ","399,000 ","282,000 ","82,000 ","305,000 ","248,000 ","67,000 ","496,000 ","317,000 ","99,000 "
1992 Q1,London,E12000007,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
1992 Q2,London,E12000007,"76,000 ","56,000 ","25,000 ","80,000 ","58,000 ","27,000 ","80,000 ","58,000 ","27,000 ","65,000 ","54,000 ","24,000 ","100,000 ","63,000 ","31,000 "
1992 Q3,London,E12000007,"67,000 ","52,000 ","24,000 ","80,000 ","59,000 ","27,000 ","80,000 ","58,000 ","27,000 ","65,000 ","53,000 ","24,000 ","105,000 ","67,000 ","33,000 "
1992 Q4,London,E12000007,"73,000 ","55,000 ","24,000 ","76,000 ","56,000 ","26,000 ","76,000 ","56,000 ","26,000 ","63,000 ","51,000 ","23,000 ","104,000 ","65,000 ","33,000 "
1993 Q1,London,E12000007,"73,000 ","55,000 ","26,000 ","79,000 ","57,000 ","28,000 ","79,000 ","57,000 ","28,000 ","63,000 ","50,000 ","23,000 ","112,000 ","69,000 ","37,000 "
1993 Q2,London,E12000007,"79,000 ","58,000 ","28,000 ","82,000 ","59,000 ","28,000 ","81,000 ","59,000 ","28,000 ","67,000 ","54,000 ","24,000 ","110,000 ","69,000 ","36,000 "
1993 Q3,London,E12000007,"85,000 ","62,000 ","28,000 ","82,000 ","60,000 ","28,000 ","83,000 ","61,000 ","28,000 ","66,000 ","54,000 ","24,000 ","111,000 ","72,000 ","35,000 "
1993 Q4,London,E12000007,"75,000 ","53,000 ","25,000 ","80,000 ","59,000 ","28,000 ","81,000 ","59,000 ","28,000 ","65,000 ","53,000 ","24,000 ","109,000 ","68,000 ","34,000 "
1994 Q1,London,E12000007,"72,000 ","52,000 ","22,000 ","79,000 ","58,000 ","27,000 ","80,000 ","58,000 ","27,000 ","63,000 ","51,000 ","22,000 ","113,000 ","72,000 ","35,000 "
1994 Q2,London,E12000007,"75,000 ","55,000 ","23,000 ","89,000 ","65,000 ","30,000 ","90,000 ","64,000 ","30,000 ","71,000 ","57,000 ","26,000 ","120,000 ","76,000 ","37,000 "
1994 Q3,London,E12000007,"74,000 ","55,000 ","26,000 ","93,000 ","66,000 ","30,000 ","93,000 ","66,000 ","30,000 ","71,000 ","58,000 ","25,000 ","126,000 ","77,000 ","38,000 "
1994 Q4,London,E12000007,"79,000 ","61,000 ","28,000 ","87,000 ","66,000 ","29,000 ","87,000 ","65,000 ","29,000 ","71,000 ","57,000 ","25,000 ","118,000 ","80,000 ","37,000 "
1995 Q1,London,E12000007,"93,000 ","65,000 ","36,000 ","86,000 ","65,000 ","30,000 ","88,000 ","65,000 ","31,000 ","71,000 ","59,000 ","26,000 ","117,000 ","76,000 ","40,000 "
